"EntrezID","S_mrna"
"10",-1.08442430146
"100",-2.62892685758429
"1000",-3.0931982257675
"10000",-3.25386893515502
"100048912",-0.896685074235656
"10005",-1.72584215073632
"10006",-2.62892685758429
"10007",-1.92323822807579
"100073347",-1.72584215073632
"10008",-1.08442430146
"10009",-0.312471038785366
"100101267",-0.312471038785366
"100101467",-2.62892685758429
"10011",-3.88573605627956
"100113407",-2.00877392430751
"100127889",-0.312471038785366
"100128081",-1.92323822807579
"100128327",-1.08442430146
"100128553",-2.00877392430751
"100128822",-1.72584215073632
"100129518",-0.624942077570731
"100129543",-2.00877392430751
"100129583",-1.72584215073632
"100129654",-1.72584215073632
"100129716",-1.72584215073632
"100129792",-2.47236494432861
"100129794",-1.72584215073632
"100129995",-1.08442430146
"10013",-1.08442430146
"100130093",-0.312471038785366
"100130172",-1.72584215073632
"100130353",-2.81026645219632
"100130449",-2.15989390554324
"100130460",-1.72584215073632
"100130519",-0.312471038785366
"100130742",-1.92323822807579
"100130776",-0.312471038785366
"100130889",-2.00877392430751
"100131378",-1.72584215073632
"100131539",-3.0931982257675
"100131755",-4.16866782985075
"100131827",-2.15989390554324
"100131980",-0.312471038785366
"100132169",-0.896685074235656
"100132396",-0.312471038785366
"100132406",-1.08442430146
"100132565",-2.15989390554324
"100132596",-2.15989390554324
"100132618",-1.72584215073632
"100132911",-1.92323822807579
"100132987",-5.89450998058707
"100133029",-2.62892685758429
"100137047",-0.312471038785366
"100137049",-0.312471038785366
"10014",-1.72584215073632
"100142659",-2.00877392430751
"10015",-3.32013356832115
"100169752",-1.72584215073632
"10017",-0.312471038785366
"10018",-8.26075466084653
"100188893",-2.62892685758429
"10019",-2.00877392430751
"100190939",-2.00877392430751
"10020",-4.08313213361903
"10022",-2.23570926686115
"10023",-3.32013356832115
"100240734",-1.92323822807579
"10026",-2.00877392430751
"100271715",-1.08442430146
"100271927",-1.39689534024536
"100272147",-0.624942077570731
"100287628",-0.312471038785366
"100287718",-2.15989390554324
"100287932",-2.65659140619614
"100288287",-2.00877392430751
"100288380",-1.72584215073632
"100288485",-2.00877392430751
"100288562",-0.312471038785366
"100288695",-0.624942077570731
"100288801",-1.72584215073632
"100288805",-1.08442430146
"100289635",-2.15989390554324
"100289678",-2.00877392430751
"100291699",-2.62892685758429
"100294341",-2.62892685758429
"100302132",-1.72584215073632
"100302143",-2.15989390554324
"100302168",-4.16866782985075
"100302210",-4.3956031724044
"100302254",-0.312471038785366
"100302263",-0.312471038785366
"100302274",-7.81774820866286
"100302736",-3.0931982257675
"100379661",-4.73350468027211
"10039",-0.312471038785366
"1004",-1.72584215073632
"10040",-4.16866782985075
"10042",-0.312471038785366
"100422832",-4.02582219782965
"100422899",-4.02582219782965
"10043",-0.312471038785366
"10044",-0.312471038785366
"10046",-0.312471038785366
"100463289",-1.92323822807579
"100463482",-0.624942077570731
"100463488",-2.00877392430751
"10048",-3.64908037881211
"10049",-1.08442430146
"100500810",-3.00766252953578
"100500832",-2.62892685758429
"100500840",-2.00877392430751
"100500842",-2.00877392430751
"100500938",-0.312471038785366
"100505385",-2.62892685758429
"100506070",-4.16866782985075
"100506084",-2.62892685758429
"100506124",-0.312471038785366
"100506127",-2.94139789636966
"100506403",-0.624942077570731
"100506718",-1.72584215073632
"100506821",-1.72584215073632
"100507050",-1.92323822807579
"100507213",-3.71335115904429
"100507217",-3.5567892457886
"100507258",-2.00877392430751
"100507421",-4.97971108589134
"100507440",-0.312471038785366
"100507472",-1.92323822807579
"100507679",-2.62892685758429
"100507855",-4.51067813385029
"100509457",-0.312471038785366
"100509646",-0.647817481888638
"10052",-1.72584215073632
"100526664",-4.16866782985075
"100526694",-2.62892685758429
"100526739",-2.62892685758429
"100526761",-1.72584215073632
"100526767",-3.73461607504383
"100526783",-0.312471038785366
"100526842",-1.08442430146
"100527950",-2.15989390554324
"100528030",-4.95017182067716
"100528032",-2.15989390554324
"100529209",-0.312471038785366
"100529215",-2.00877392430751
"100529241",-2.54818030564652
"100529251",-0.312471038785366
"100529257",-1.08442430146
"100532726",-1.39689534024536
"100533105",-4.73350468027211
"100533181",-0.312471038785366
"100533952",-2.62892685758429
"10055",-0.312471038785366
"10057",-3.40566926455287
"10058",-2.62892685758429
"10059",-4.27402245638284
"10060",-2.80771138743188
"10061",-2.54818030564652
"100616113",-0.624942077570731
"100616124",-2.62892685758429
"100616237",-1.08442430146
"100616282",-1.92323822807579
"100616387",-2.62892685758429
"100616408",-2.62892685758429
"100630923",-1.08442430146
"100652732",-1.72584215073632
"100652824",-1.08442430146
"100652930",-4.16866782985075
"100653137",-1.72584215073632
"100653194",-0.312471038785366
"100653231",-0.312471038785366
"100653247",-2.62892685758429
"100653292",-1.92323822807579
"100653334",-4.97016035773956
"100653515",-2.62892685758429
"10068",-2.00877392430751
"1007",-1.72584215073632
"1008",-3.64908037881211
"10081",-1.08442430146
"10082",-3.96155141759747
"100820829",-1.92323822807579
"10085",-2.15989390554324
"100861437",-4.16866782985075
"10087",-2.23570926686115
"100874309",-6.09190605792654
"10089",-0.312471038785366
"1009",-2.15989390554324
"10092",-2.62892685758429
"10095",-0.312471038785366
"10096",-1.08442430146
"10097",-2.63371600187824
"10098",-2.94139789636966
"10099",-5.72212508335179
"100996253",-1.72584215073632
"100996283",-6.71205899120332
"100996332",-2.94139789636966
"100996383",-1.08442430146
"100996400",-4.79360990742148
"100996477",-4.48113886863611
"100996496",-2.62892685758429
"100996542",-6.71684813549727
"100996620",-4.78882076312753
"100996626",-1.08442430146
"100996628",-2.32124496309287
"100996643",-2.62892685758429
"100996657",-4.02582219782965
"100996668",-1.72584215073632
"100996709",-2.62892685758429
"100996724",-4.16866782985075
"100996725",-1.08442430146
"100996752",-3.64908037881211
"100996758",-2.15989390554324
"100996761",-4.16866782985075
"100996782",-1.72584215073632
"100996792",-2.78483598311397
"100996843",-2.62892685758429
"100996904",-0.312471038785366
"1010",-1.08442430146
"10100",-1.72584215073632
